CASO,month1,month2,month3,month4,days,n_memb_per_y,C3S,QC
sps4_200208_018,1,1,1,1,1,0,0,0
sps4_200208_019,1,1,1,1,1,0,0,0
sps4_200208_020,1,1,1,1,1,0,0,0
sps4_200208_021,1,1,1,1,1,0,0,0
sps4_200208_022,1,1,1,1,1,0,0,0
sps4_200208_023,1,1,1,1,1,0,0,0
sps4_200208_024,1,1,1,1,1,0,0,0
sps4_200208_025,1,1,1,1,1,0,0,0
sps4_200308_001,1,1,1,1,1,0,0,0
sps4_200308_002,1,1,1,1,1,0,0,0
sps4_200308_003,1,1,1,1,1,0,0,0
sps4_200308_004,1,1,1,1,1,0,0,0
sps4_200308_005,1,1,1,1,1,0,0,0
sps4_200308_006,1,1,1,1,1,0,0,0
sps4_200308_007,1,1,1,1,1,0,0,0
sps4_200308_008,1,1,1,1,1,0,0,0
sps4_200308_009,1,1,1,1,1,0,0,0
sps4_200308_010,1,1,1,1,1,0,0,0
sps4_200308_011,1,1,1,1,1,0,0,0
sps4_200308_012,1,1,1,1,1,0,0,0
sps4_200308_013,1,1,1,1,1,0,0,0
sps4_200308_014,1,1,1,1,1,0,0,0
sps4_200308_015,1,1,1,1,1,0,0,0
sps4_200308_016,1,1,1,1,1,0,0,0
sps4_200308_017,1,1,1,1,1,0,0,0
sps4_200308_018,1,1,1,1,1,0,0,0
sps4_200308_019,1,1,1,1,1,0,0,0
sps4_200308_020,1,1,1,1,1,0,0,0
sps4_200308_021,1,1,1,1,1,0,0,0
sps4_200308_022,1,1,1,1,1,0,0,0
sps4_200308_023,1,1,1,1,1,0,0,0
sps4_200308_024,1,1,1,1,1,0,0,0
sps4_200308_025,1,1,1,1,1,0,0,0
sps4_200408_001,1,1,1,1,1,0,0,0
sps4_200408_002,1,1,1,1,1,0,0,0
